ticker	secID	secShortName	exchangeCD	listStatusCD	listDate
000004	000004.XSHE	*ST国华	XSHE	L	1990/12/1
000430	000430.XSHE	ST张家界	XSHE	L	1996/8/29
000488	000488.XSHE	ST晨鸣	XSHE	L	2000/11/20
000504	000504.XSHE	*ST生物	XSHE	L	1992/12/8
000518	000518.XSHE	*ST四环	XSHE	L	1993/9/8
000595	000595.XSHE	*ST宝实	XSHE	L	1996/4/19
000608	000608.XSHE	*ST阳光	XSHE	L	1996/9/19
000609	000609.XSHE	ST中迪	XSHE	L	1996/10/10
000615	000615.XSHE	*ST美谷	XSHE	L	1996/10/16
000638	000638.XSHE	*ST万方	XSHE	L	1996/11/26
000656	000656.XSHE	*ST金科	XSHE	L	1996/11/28
000668	000668.XSHE	*ST荣控	XSHE	L	1996/12/10
000669	000669.XSHE	ST金鸿	XSHE	L	1996/12/10
000691	000691.XSHE	*ST亚太	XSHE	L	1997/2/28
000697	000697.XSHE	ST炼石	XSHE	L	1997/3/25
000698	000698.XSHE	ST沈化	XSHE	L	1997/2/20
000711	000711.XSHE	ST京蓝	XSHE	L	1997/4/11
000736	000736.XSHE	*ST中地	XSHE	L	1997/4/25
000752	000752.XSHE	ST西发	XSHE	L	1997/6/25
000793	000793.XSHE	*ST华闻	XSHE	L	1997/7/29
000820	000820.XSHE	*ST节能	XSHE	L	1998/6/30
000821	000821.XSHE	ST京机	XSHE	L	1998/6/26
000903	000903.XSHE	ST云动	XSHE	L	1999/4/15
000908	000908.XSHE	*ST景峰	XSHE	L	1999/2/3
000909	000909.XSHE	ST数源	XSHE	L	1999/5/7
000929	000929.XSHE	*ST兰黄	XSHE	L	1999/6/23
000972	000972.XSHE	*ST中基	XSHE	L	2000/9/26
001270	001270.XSHE	*ST铖昌	XSHE	L	2022/6/6
002005	002005.XSHE	ST德豪	XSHE	L	2004/6/25
002024	002024.XSHE	ST易购	XSHE	L	2004/7/21
002047	002047.XSHE	*ST宝鹰	XSHE	L	2005/5/31
002055	002055.XSHE	ST得润	XSHE	L	2006/7/25
002058	002058.XSHE	*ST威尔	XSHE	L	2006/8/2
002076	002076.XSHE	*ST星光	XSHE	L	2006/10/25
002122	002122.XSHE	ST汇洲	XSHE	L	2007/3/28
002168	002168.XSHE	*ST惠程	XSHE	L	2007/9/19
002199	002199.XSHE	*ST东晶	XSHE	L	2007/12/21
002200	002200.XSHE	*ST交投	XSHE	L	2007/12/21
002211	002211.XSHE	ST宏达	XSHE	L	2008/2/1
002214	002214.XSHE	*ST大立	XSHE	L	2008/2/18
002231	002231.XSHE	*ST奥维	XSHE	L	2008/5/12
002253	002253.XSHE	*ST智胜	XSHE	L	2008/6/23
002289	002289.XSHE	*ST宇顺	XSHE	L	2009/9/3
002305	002305.XSHE	*ST南置	XSHE	L	2009/11/6
002306	002306.XSHE	*ST云网	XSHE	L	2009/11/11
002424	002424.XSHE	ST百灵	XSHE	L	2010/6/3
002485	002485.XSHE	ST雪发	XSHE	L	2010/10/15
002496	002496.XSHE	*ST辉丰	XSHE	L	2010/11/9
002512	002512.XSHE	ST达华	XSHE	L	2010/12/3
002528	002528.XSHE	ST英飞拓	XSHE	L	2010/12/24
002529	002529.XSHE	*ST海源	XSHE	L	2010/12/24
002569	002569.XSHE	*ST步森	XSHE	L	2011/4/12
002581	002581.XSHE	ST未名	XSHE	L	2011/5/20
002586	002586.XSHE	ST围海	XSHE	L	2011/6/2
002592	002592.XSHE	ST八菱	XSHE	L	2011/11/11
002620	002620.XSHE	ST瑞和	XSHE	L	2011/9/29
002630	002630.XSHE	ST华西	XSHE	L	2011/11/11
002647	002647.XSHE	*ST仁东	XSHE	L	2011/12/28
002650	002650.XSHE	ST加加	XSHE	L	2012/1/6
002656	002656.XSHE	*ST摩登	XSHE	L	2012/2/28
002689	002689.XSHE	ST远智	XSHE	L	2012/7/17
002693	002693.XSHE	*ST双成	XSHE	L	2012/8/8
002713	002713.XSHE	*ST东易	XSHE	L	2014/2/19
002717	002717.XSHE	ST岭南	XSHE	L	2014/2/19
002731	002731.XSHE	ST萃华	XSHE	L	2014/11/4
002742	002742.XSHE	*ST三圣	XSHE	L	2015/2/17
002762	002762.XSHE	*ST金比	XSHE	L	2015/6/10
002789	002789.XSHE	*ST建艺	XSHE	L	2016/3/11
002808	002808.XSHE	*ST恒久	XSHE	L	2016/8/12
002816	002816.XSHE	*ST和科	XSHE	L	2016/10/25
002822	002822.XSHE	ST中装	XSHE	L	2016/11/29
002848	002848.XSHE	*ST高斯	XSHE	L	2017/2/13
002868	002868.XSHE	*ST绿康	XSHE	L	2017/5/3
002872	002872.XSHE	ST天圣	XSHE	L	2017/5/19
002898	002898.XSHE	*ST赛隆	XSHE	L	2017/9/12
003004	003004.XSHE	*ST声迅	XSHE	L	2020/11/26
003032	003032.XSHE	*ST传智	XSHE	L	2021/1/12
300020	300020.XSHE	ST银江	XSHE	L	2009/10/30
300029	300029.XSHE	*ST天龙	XSHE	L	2009/12/25
300044	300044.XSHE	ST赛为	XSHE	L	2010/1/20
300052	300052.XSHE	ST中青宝	XSHE	L	2010/2/11
300091	300091.XSHE	*ST金灵	XSHE	L	2010/6/25
300093	300093.XSHE	*ST金刚	XSHE	L	2010/7/8
300096	300096.XSHE	ST易联众	XSHE	L	2010/7/28
300097	300097.XSHE	ST智云	XSHE	L	2010/7/28
300125	300125.XSHE	*ST聆达	XSHE	L	2010/10/13
300147	300147.XSHE	ST香雪	XSHE	L	2010/12/15
300152	300152.XSHE	ST新动力	XSHE	L	2010/12/29
300159	300159.XSHE	*ST新研	XSHE	L	2011/1/7
300165	300165.XSHE	ST天瑞	XSHE	L	2011/1/25
300167	300167.XSHE	ST迪威迅	XSHE	L	2011/1/25
300173	300173.XSHE	ST福能	XSHE	L	2011/2/1
300175	300175.XSHE	ST朗源	XSHE	L	2011/2/15
300198	300198.XSHE	ST纳川	XSHE	L	2011/4/7
300205	300205.XSHE	*ST天喻	XSHE	L	2011/4/21
300211	300211.XSHE	*ST亿通	XSHE	L	2011/5/5
300225	300225.XSHE	*ST金泰	XSHE	L	2011/5/31
300237	300237.XSHE	ST美晨	XSHE	L	2011/6/29
300268	300268.XSHE	*ST佳沃	XSHE	L	2011/9/27
300301	300301.XSHE	ST长方	XSHE	L	2012/3/21
300311	300311.XSHE	ST任子行	XSHE	L	2012/4/25
300313	300313.XSHE	*ST天山	XSHE	L	2012/4/25
300326	300326.XSHE	ST凯利	XSHE	L	2012/6/13
300338	300338.XSHE	ST开元	XSHE	L	2012/7/26
300343	300343.XSHE	ST联创	XSHE	L	2012/8/1
300344	300344.XSHE	*ST立方	XSHE	L	2012/8/1
300366	300366.XSHE	ST创意	XSHE	L	2014/1/27
300419	300419.XSHE	ST浩丰	XSHE	L	2015/1/22
300460	300460.XSHE	ST惠伦	XSHE	L	2015/5/15
300462	300462.XSHE	ST华铭	XSHE	L	2015/5/27
300472	300472.XSHE	*ST新元	XSHE	L	2015/6/11
300477	300477.XSHE	ST合纵	XSHE	L	2015/6/10
300506	300506.XSHE	ST名家汇	XSHE	L	2016/3/24
300527	300527.XSHE	ST应急	XSHE	L	2016/8/5
300555	300555.XSHE	ST路通	XSHE	L	2016/10/18
300561	300561.XSHE	*ST汇科	XSHE	L	2016/11/17
300716	300716.XSHE	ST泉为	XSHE	L	2017/11/9
300899	300899.XSHE	*ST凯鑫	XSHE	L	2020/10/16
301288	301288.XSHE	*ST清研	XSHE	L	2022/4/22
600079	600079.XSHG	ST人福	XSHG	L	1997/6/6
600107	600107.XSHG	ST尔雅	XSHG	L	1997/11/6
600130	600130.XSHG	*ST波导	XSHG	L	2000/7/6
600136	600136.XSHG	ST明诚	XSHG	L	1998/3/3
600165	600165.XSHG	ST宁科	XSHG	L	1998/5/29
600169	600169.XSHG	ST太重	XSHG	L	1998/9/4
600193	600193.XSHG	*ST创兴	XSHG	L	1999/5/27
600228	600228.XSHG	*ST返利	XSHG	L	1999/1/19
600238	600238.XSHG	*ST椰岛	XSHG	L	2000/1/20
600243	600243.XSHG	*ST海华	XSHG	L	2000/11/20
600265	600265.XSHG	ST景谷	XSHG	L	2000/8/25
600289	600289.XSHG	ST信通	XSHG	L	2000/7/20
600355	600355.XSHG	*ST精伦	XSHG	L	2002/6/13
600358	600358.XSHG	ST联合	XSHG	L	2000/9/22
600360	600360.XSHG	*ST华微	XSHG	L	2001/3/16
600365	600365.XSHG	ST通葡	XSHG	L	2001/1/15
600381	600381.XSHG	*ST春天	XSHG	L	2001/5/8
600421	600421.XSHG	*ST华嵘	XSHG	L	2004/6/7
600525	600525.XSHG	ST长园	XSHG	L	2002/12/2
600568	600568.XSHG	ST中珠	XSHG	L	2001/5/18
600599	600599.XSHG	*ST熊猫	XSHG	L	2001/8/28
600608	600608.XSHG	*ST沪科	XSHG	L	1992/3/27
600624	600624.XSHG	ST复华	XSHG	L	1993/1/5
600636	600636.XSHG	*ST国化	XSHG	L	1993/3/16
600696	600696.XSHG	*ST岩石	XSHG	L	1993/12/6
600735	600735.XSHG	ST新华锦	XSHG	L	1996/7/26
600753	600753.XSHG	*ST海钦	XSHG	L	1996/9/27
600777	600777.XSHG	*ST新潮	XSHG	L	1996/11/21
600892	600892.XSHG	*ST大晟	XSHG	L	1996/3/15
603007	603007.XSHG	*ST花王	XSHG	L	2016/8/26
603021	603021.XSHG	ST华鹏	XSHG	L	2015/4/23
603261	603261.XSHG	*ST立航	XSHG	L	2022/3/15
603268	603268.XSHG	*ST松发	XSHG	L	2015/3/19
603377	603377.XSHG	ST东时	XSHG	L	2016/2/5
603389	603389.XSHG	*ST亚振	XSHG	L	2016/12/15
603398	603398.XSHG	*ST沐邦	XSHG	L	2015/12/9
603429	603429.XSHG	*ST集友	XSHG	L	2017/1/24
603517	603517.XSHG	ST绝味	XSHG	L	2017/3/17
603557	603557.XSHG	ST起步	XSHG	L	2017/8/18
603559	603559.XSHG	ST通脉	XSHG	L	2016/12/2
603580	603580.XSHG	*ST艾艾	XSHG	L	2017/5/25
603595	603595.XSHG	ST东尼	XSHG	L	2017/7/12
603721	603721.XSHG	*ST天择	XSHG	L	2017/8/11
603789	603789.XSHG	*ST星农	XSHG	L	2015/4/27
603813	603813.XSHG	*ST原尚	XSHG	L	2017/9/18
603822	603822.XSHG	ST嘉澳	XSHG	L	2016/4/28
603825	603825.XSHG	ST华扬	XSHG	L	2017/8/2
603828	603828.XSHG	ST柯利达	XSHG	L	2015/2/26
603838	603838.XSHG	*ST四通	XSHG	L	2015/7/1
603843	603843.XSHG	*ST正平	XSHG	L	2016/9/5
603869	603869.XSHG	ST智知	XSHG	L	2015/3/26
605081	605081.XSHG	*ST太和	XSHG	L	2021/2/9
605199	605199.XSHG	ST葫芦娃	XSHG	L	2020/7/10
688053	688053.XSHG	ST思科瑞	XSHG	L	2022/7/8
688076	688076.XSHG	ST诺泰	XSHG	L	2021/5/20
688184	688184.XSHG	ST帕瓦	XSHG	L	2022/9/19
688287	688287.XSHG	*ST观典	XSHG	L	2022/5/25
688511	688511.XSHG	*ST天微	XSHG	L	2021/7/30
688646	688646.XSHG	ST逸飞	XSHG	L	2023/7/28
